person,timestamp,session,pk1
Student1,2019-03-11T12:25:58Z,70424335,pk2627323
Student1,2019-03-11T11:51:35Z,70424335,pk2627313
Student1,2019-03-11T11:49:20Z,70424335,pk2627290
Student1,2019-03-11T11:49:04Z,70424335,pk10001
Student1,2019-03-11T11:48:58Z,70424335,pk10002
Student1,2019-03-11T11:48:31Z,70424335,pk2627275
Student1,2019-03-11T11:48:31Z,70424335,pk2627376
Student1,2019-03-11T11:48:31Z,70424335,pk2627375
Student1,2019-03-11T11:48:31Z,70424335,pk2627374
Student1,2019-03-11T11:48:31Z,70424335,pk2627373
Student2,2019-03-11T01:19:45Z,70390962,pk10003
Student2,2019-03-11T01:19:41Z,70390962,pk10003
Student2,2019-03-11T01:19:35Z,70390962,pk2627275
Student2,2019-03-11T01:19:35Z,70390962,pk2627376
Student2,2019-03-11T01:19:35Z,70390962,pk2627375
Student2,2019-03-11T01:19:35Z,70390962,pk2627374
Student2,2019-03-11T01:19:35Z,70390962,pk2627373
Student3,2019-03-10T21:50:55Z,70367594,pk2627276
Student3,2019-03-10T21:50:55Z,70367594,pk2627366
Student3,2019-03-10T21:50:55Z,70367594,pk2627365
Student3,2019-03-10T21:50:55Z,70367594,pk2627364
Student3,2019-03-10T21:50:55Z,70367594,pk2627363
Student3,2019-03-10T21:50:55Z,70367594,pk2627362
Student3,2019-03-10T21:50:55Z,70367594,pk2789214
Student3,2019-03-10T21:50:47Z,70367594,pk10004
Student3,2019-03-10T21:43:03Z,70367594,pk2627366
Student3,2019-03-10T21:43:03Z,70367594,pk2627365
Student3,2019-03-10T21:43:03Z,70367594,pk2627364
Student3,2019-03-10T21:43:03Z,70367594,pk2627363
Student3,2019-03-10T21:43:03Z,70367594,pk2627362
Student3,2019-03-10T21:43:03Z,70367594,pk2789214
Student3,2019-03-10T21:43:04Z,70367594,pk2627276
Student3,2019-03-10T21:42:53Z,70367594,pk2627275
Student3,2019-03-10T21:42:53Z,70367594,pk2627376
Student3,2019-03-10T21:42:53Z,70367594,pk2627375
Student3,2019-03-10T21:42:53Z,70367594,pk2627374
Student3,2019-03-10T21:42:53Z,70367594,pk2627373
Student3,2019-03-10T18:25:37Z,70353339,pk2627349
Student3,2019-03-10T18:26:12Z,70353339,pk2627300
Student3,2019-03-10T17:42:22Z,70353339,pk2627339
Student3,2019-03-10T17:42:12Z,70353339,pk2627323
